,Time,Open,High,Low,Close,Volume
154,1583014320000,8616.75,8618.85,8615.02,8615.08,11.25908
155,1583014380000,8615.08,8615.08,8610.43,8612.41,11.995139
156,1583014440000,8612.27,8612.27,8610.0,8610.07,8.687083
157,1583014500000,8610.95,8611.02,8610.0,8610.0,10.019766
158,1583014560000,8610.0,8610.02,8610.0,8610.01,15.715092
159,1583014620000,8610.0,8610.07,8602.92,8604.78,44.96112
160,1583014680000,8604.57,8604.86,8592.99,8595.5,86.376149
161,1583014740000,8595.01,8596.97,8593.21,8594.92,34.84774
162,1583014800000,8594.28,8613.81,8593.58,8610.79,45.892677
163,1583014860000,8610.98,8616.56,8610.98,8614.03,27.832932
164,1583014920000,8614.02,8614.06,8606.45,8607.07,15.399294
165,1583014980000,8607.0,8607.0,8598.3,8599.55,10.309335
166,1583015040000,8599.55,8600.33,8595.14,8596.58,25.698947
167,1583015100000,8596.81,8604.4,8596.18,8604.4,24.3429
168,1583015160000,8603.4,8606.91,8602.22,8605.94,18.434715
169,1583015220000,8604.55,8606.36,8602.04,8606.36,14.071993
170,1583015280000,8604.8,8606.23,8601.55,8602.4,18.973378
171,1583015340000,8602.37,8603.24,8596.5,8598.04,31.44041
172,1583015400000,8599.17,8604.28,8596.69,8604.28,14.373164
173,1583015460000,8604.14,8612.93,8603.89,8612.4,32.514621
174,1583015520000,8612.23,8616.35,8612.23,8616.09,5.667638
175,1583015580000,8616.04,8616.1,8615.0,8615.03,4.142582
176,1583015640000,8615.01,8621.42,8615.01,8619.57,14.659707
177,1583015700000,8619.59,8624.34,8619.59,8622.66,18.649351
178,1583015760000,8622.67,8627.83,8622.67,8626.08,11.780958
179,1583015820000,8625.82,8626.88,8620.9,8623.94,16.994983
180,1583015880000,8623.99,8626.1,8623.8,8625.85,11.157433
181,1583015940000,8626.1,8631.36,8626.09,8631.04,10.419953
182,1583016000000,8629.8,8632.21,8629.6,8631.04,10.356964
183,1583016060000,8631.04,8632.63,8631.0,8631.09,17.699229
184,1583016120000,8631.09,8631.55,8626.53,8627.66,16.874808
185,1583016180000,8627.05,8627.56,8625.59,8626.68,7.767185
186,1583016240000,8627.31,8627.31,8622.62,8622.66,12.98835
187,1583016300000,8623.96,8624.88,8614.83,8615.35,21.95305
188,1583016360000,8615.59,8615.7,8608.49,8610.99,23.599735
189,1583016420000,8610.18,8611.0,8610.07,8610.93,7.844131
190,1583016480000,8610.96,8613.39,8608.96,8609.51,22.457321
191,1583016540000,8609.52,8616.43,8609.44,8615.51,26.682175
192,1583016600000,8615.5,8631.18,8614.06,8629.92,25.737439
193,1583016660000,8630.53,8630.97,8624.28,8625.81,10.41536
